indice_tiempo,total_2da_dosis_aplicadas
2020-12-29,2
2020-12-30,5
2021-01-01,0
2021-01-02,3
2021-01-03,1
2021-01-04,4
2021-01-05,3
2021-01-06,0
2021-01-07,2
2021-01-08,6
2021-01-09,1
2021-01-10,0
2021-01-11,5
2021-01-12,10
2021-01-13,1
2021-01-14,0
2021-01-15,6
2021-01-16,1
2021-01-17,3
2021-01-18,4
2021-01-19,5431
2021-01-20,13515
2021-01-21,9317
2021-01-22,4194
2021-01-23,2831
2021-01-24,212
2021-01-25,7090
2021-01-26,7492
2021-01-27,6014
2021-01-28,14604
2021-01-29,22037
2021-01-30,9110
2021-01-31,616
2021-02-01,17250
2021-02-02,18230
2021-02-03,16205
2021-02-04,17809
2021-02-05,19148
2021-02-06,7849
2021-02-07,812
2021-02-08,6951
2021-02-09,5926
2021-02-10,4613
2021-02-11,13186
2021-02-12,11575
2021-02-13,2673
2021-02-14,128
2021-02-15,236
2021-02-16,275
2021-02-17,4748
2021-02-18,11558
2021-02-19,7542
2021-02-20,1543
2021-02-21,36
2021-02-22,1723
2021-02-23,4112
2021-02-24,6461
2021-02-25,11439
2021-02-26,11016
2021-02-27,2012
2021-02-28,313
2021-03-01,7330
2021-03-02,7199
2021-03-03,7173
2021-03-04,13625
2021-03-05,12827
2021-03-06,3788
2021-03-07,81
2021-03-08,2491
2021-03-09,2316
2021-03-10,6325
2021-03-11,32787
2021-03-12,43640
2021-03-13,27278
2021-03-14,1240
2021-03-15,28602
2021-03-16,22113
2021-03-17,18198
2021-03-18,43402
2021-03-19,36072
2021-03-20,12785
2021-03-21,1317
2021-03-22,12770
2021-03-23,12516
2021-03-24,1241
2021-03-25,15404
2021-03-26,10376
2021-03-27,3145
2021-03-28,57
2021-03-29,4779
2021-03-30,5307
2021-03-31,4861
2021-04-01,2111
2021-04-02,1013
2021-04-03,536
2021-04-04,96
2021-04-05,9609
2021-04-06,8106
2021-04-07,6548
2021-04-08,4910
2021-04-09,12163
2021-04-10,5347
2021-04-11,1517
2021-04-12,8620
2021-04-13,24588
2021-04-14,14890
2021-04-15,21104
2021-04-16,8176
2021-04-17,5411
2021-04-18,132
2021-04-19,14363
2021-04-20,15718
2021-04-21,14753
2021-04-22,13735
2021-04-23,12430
2021-04-24,1413
2021-04-25,185
2021-04-26,6006
2021-04-27,5163
2021-04-28,23367
2021-04-29,33680
2021-04-30,32871
2021-05-01,3502
2021-05-02,14053
2021-05-03,77032
2021-05-04,95216
2021-05-05,80091
2021-05-06,64550
2021-05-07,96049
2021-05-08,41828
2021-05-09,3096
2021-05-10,64244
2021-05-11,64433
2021-05-12,145178
2021-05-13,154477
2021-05-14,156067
2021-05-15,50444
2021-05-16,43282
2021-05-17,96864
2021-05-18,44011
2021-05-19,36416
2021-05-20,42127
2021-05-21,85718
2021-05-22,43537
2021-05-23,22889
2021-05-24,19947
2021-05-25,26492
2021-05-26,64228
2021-05-27,81516
2021-05-28,121439
2021-05-29,61294
2021-05-30,16570
2021-05-31,62200
2021-06-01,51867
2021-06-02,51229
2021-06-03,35384
2021-06-04,44582
2021-06-05,20080
2021-06-06,12718
2021-06-07,47636
2021-06-08,35121
2021-06-09,22903
2021-06-10,18398
2021-06-11,46257
2021-06-12,79980
2021-06-13,43593
2021-06-14,83771
2021-06-15,84302
2021-06-16,73521
2021-06-17,65153
2021-06-18,45256
2021-06-19,20665
2021-06-20,4174
2021-06-21,23802
2021-06-22,38193
2021-06-23,29182
2021-06-24,34017
2021-06-25,70507
2021-06-26,77807
2021-06-27,21066
2021-06-28,52016
2021-06-29,47883
2021-06-30,36266
2021-07-01,116868
2021-07-02,84428
2021-07-03,84480
2021-07-04,21837
2021-07-05,173520
2021-07-06,143437
2021-07-07,112696
2021-07-08,40436
2021-07-09,104483
2021-07-10,31105
2021-07-11,8033
2021-07-12,29032
2021-07-13,28155
2021-07-14,34201
2021-07-15,55766
2021-07-16,100380
2021-07-17,93243
2021-07-18,37247
2021-07-19,85432
2021-07-20,208302
2021-07-21,97299
2021-07-22,66343
2021-07-23,89704
2021-07-24,51149
2021-07-25,8261
2021-07-26,163279
2021-07-27,225672
2021-07-28,205643
2021-07-29,192447
2021-07-30,208545
2021-07-31,152147
2021-08-01,93560
2021-08-02,240245
2021-08-03,199624
2021-08-04,238556
2021-08-05,276894
2021-08-06,282901
2021-08-07,205630
2021-08-08,128122
2021-08-09,279859
2021-08-10,267814
2021-08-11,321010
2021-08-12,313395
2021-08-13,345920
2021-08-14,219262
2021-08-15,132676
2021-08-16,142334
2021-08-17,320791
2021-08-18,327190
2021-08-19,309460
2021-08-20,316566
2021-08-21,202895
2021-08-22,146540
2021-08-23,286094
2021-08-24,356994
2021-08-25,351530
2021-08-26,369782
2021-08-27,390103
2021-08-28,201070
2021-08-29,146863
2021-08-30,325518
2021-08-31,363167
2021-09-01,373292
2021-09-02,369170
2021-09-03,369549
2021-09-04,256574
2021-09-05,180003
2021-09-06,389893
2021-09-07,408981
2021-09-08,314819
2021-09-09,347875
2021-09-10,292655
2021-09-11,173098
2021-09-12,7312
2021-09-13,250538
2021-09-14,233150
2021-09-15,294622
2021-09-16,322544
2021-09-17,313198
2021-09-18,187687
2021-09-19,117671
2021-09-20,298596
2021-09-21,259648
2021-09-22,271272
2021-09-23,140953
2021-09-24,190469
2021-09-25,96504
2021-09-26,74912
2021-09-27,227949
2021-09-28,240895
2021-09-29,204591
2021-09-30,267677
2021-10-01,241531
2021-10-02,151634
2021-10-03,86821
2021-10-04,164176
2021-10-05,157450
2021-10-06,182493
2021-10-07,175457
2021-10-08,92257
2021-10-09,101798
2021-10-10,67541
2021-10-11,58055
2021-10-12,127146
2021-10-13,117545
2021-10-14,152028
2021-10-15,162112
2021-10-16,119364
2021-10-17,51592
2021-10-18,123625
2021-10-19,110332
2021-10-20,95528
2021-10-21,131067
2021-10-22,114369
2021-10-23,58296
2021-10-24,23493
2021-10-25,112980
2021-10-26,143445
2021-10-27,93523
2021-10-28,111796
2021-10-29,97808
2021-10-30,38614
2021-10-31,25060
2021-11-01,80799
2021-11-02,144361
2021-11-03,159445
2021-11-04,148783
2021-11-05,116251
2021-11-06,81108
2021-11-07,54176
2021-11-08,91647
2021-11-09,129896
2021-11-10,120418
2021-11-11,115801
2021-11-12,156700
2021-11-13,59824
2021-11-14,5689
2021-11-15,201631
2021-11-16,228859
2021-11-17,218386
2021-11-18,208540
2021-11-19,246871
2021-11-20,86204
2021-11-21,50573
2021-11-22,55526
2021-11-23,180551
2021-11-24,187401
2021-11-25,171458
2021-11-26,170068
2021-11-27,72248
2021-11-28,49122
2021-11-29,178690
2021-11-30,174297
2021-12-01,132617
2021-12-02,166509
2021-12-03,134520
2021-12-04,62937
2021-12-05,45257
2021-12-06,151908
2021-12-07,168009
2021-12-08,54376
2021-12-09,124115
2021-12-10,131648
2021-12-11,59164
2021-12-12,35383
2021-12-13,122633
2021-12-14,128393
2021-12-15,120115
2021-12-16,115620
2021-12-17,98615
2021-12-18,57858
2021-12-19,30028
2021-12-20,103331
2021-12-21,120129
2021-12-22,116601
2021-12-23,85030
2021-12-24,4325
2021-12-25,240
2021-12-26,16550
2021-12-27,135236
2021-12-28,126382
2021-12-29,120622
2021-12-30,99727
2021-12-31,8213
2022-01-01,750
2022-01-02,19671
2022-01-03,97555
2022-01-04,107291
2022-01-05,115222
2022-01-06,113446
2022-01-07,119445
2022-01-08,48012
2022-01-09,27005
2022-01-10,93464
2022-01-11,87882
2022-01-12,86775
2022-01-13,81038
2022-01-14,69949
2022-01-15,27650
2022-01-16,16884
2022-01-17,72026
2022-01-18,69173
2022-01-19,66932
2022-01-20,68910
2022-01-21,68410
2022-01-22,28094
2022-01-23,18042
2022-01-24,71773
2022-01-25,70277
2022-01-26,69375
2022-01-27,75422
2022-01-28,73670
2022-01-29,30889
2022-01-30,17129
2022-01-31,70621
2022-02-01,67685
2022-02-02,60218
2022-02-03,57986
2022-02-04,62244
2022-02-05,22392
2022-02-06,14512
2022-02-07,63386
2022-02-08,63727
2022-02-09,59767
2022-02-10,58811
2022-02-11,52449
2022-02-12,22787
2022-02-13,13062
2022-02-14,53430
2022-02-15,51967
2022-02-16,50577
2022-02-17,52864
2022-02-18,51548
2022-02-19,17839
2022-02-20,8869
2022-02-21,50894
2022-02-22,53623
2022-02-23,52564
2022-02-24,43966
2022-02-25,52294
2022-02-26,17027
2022-02-27,7731
2022-02-28,10910
2022-03-01,10041
2022-03-02,31228
2022-03-03,29923
2022-03-04,29977
2022-03-05,11331
2022-03-06,6245
2022-03-07,26404
2022-03-08,19158
2022-03-09,20481
2022-03-10,21795
2022-03-11,24110
2022-03-12,9699
2022-03-13,4306
2022-03-14,21909
2022-03-15,22694
2022-03-16,21748
2022-03-17,21562
2022-03-18,20953
2022-03-19,8997
2022-03-20,3800
2022-03-21,18429
2022-03-22,17891
2022-03-23,19107
2022-03-24,3489
2022-03-25,16834
2022-03-26,6802
2022-03-27,2855
2022-03-28,16755
2022-03-29,15945
2022-03-30,13600
2022-03-31,15448
2022-04-01,14946
2022-04-02,4057
2022-04-03,2603
2022-04-04,12969
2022-04-05,13388
2022-04-06,12986
2022-04-07,11841
2022-04-08,12332
2022-04-09,4953
2022-04-10,2217
2022-04-11,11798
2022-04-12,11909
2022-04-13,13179
2022-04-14,3260
2022-04-15,1687
2022-04-16,2706
2022-04-17,828
2022-04-18,13823
2022-04-19,14258
2022-04-20,16174
2022-04-21,15461
2022-04-22,14586
2022-04-23,5585
2022-04-24,1779
2022-04-25,13808
2022-04-26,13507
2022-04-27,12518
2022-04-28,15575
2022-04-29,13737
2022-04-30,3670
2022-05-01,114
2022-05-02,11255
2022-05-03,13316
2022-05-04,15759
2022-05-05,24369
2022-05-06,15787
2022-05-07,4844
2022-05-08,1986
2022-05-09,11553
2022-05-10,11884
2022-05-11,11801
2022-05-12,11586
2022-05-13,12836
2022-05-14,4003
2022-05-15,1586
2022-05-16,10424
2022-05-17,12359
2022-05-18,160
2022-05-19,12008
2022-05-20,11534
2022-05-21,4099
2022-05-22,1560
2022-05-23,10392
2022-05-24,10667
2022-05-25,1308
2022-05-26,8965
2022-05-27,10862
2022-05-28,5222
2022-05-29,1793
2022-05-30,9035
2022-05-31,10040
2022-06-01,9096
2022-06-02,10838
2022-06-03,10437
2022-06-04,2055
2022-06-05,384
2022-06-06,9332
2022-06-07,8859
2022-06-08,8643
2022-06-09,8759
2022-06-10,8064
2022-06-11,1620
2022-06-12,208
2022-06-13,8079
2022-06-14,8340
2022-06-15,8260
2022-06-16,7747
2022-06-17,632
2022-06-18,569
2022-06-19,37
2022-06-20,347
2022-06-21,6451
2022-06-22,5220
2022-06-23,5477
2022-06-24,6162
2022-06-25,781
2022-06-26,288
2022-06-27,2678
2022-06-28,5721
2022-06-29,4955
2022-06-30,5064
2022-07-01,5143
2022-07-02,721
2022-07-03,171
2022-07-04,5287
2022-07-05,5242
2022-07-06,4668
2022-07-07,4427
2022-07-08,4602
2022-07-09,542
2022-07-10,234
2022-07-11,4059
2022-07-12,4143
2022-07-13,4159
2022-07-14,3712
2022-07-15,3020
2022-07-16,404
2022-07-17,208
2022-07-18,3306
